T,Sig_Np,Rate#,Pct_Np,CumPct,SigT,E:SNR0182,Sig,SigCalc,Range,Zero
94877.6,1.64989e-05,1.0,3.18734e-09,2.03658e-10,1.5195,-0.28992,509759.0,508949.0,1.5195,0.0
83495.7,0.0,2.0,0.0,3.21891e-11,2.1273,-0.361093,506755.0,505745.0,11860.0,0.0
73479.3,0.0,3.0,0.0,0.0,2.7351,-1.33087,506399.0,502679.0,,
64664.5,0.0,4.0,0.0,0.0,3.3429,0.0487533,499600.0,499737.0,,
56907.1,0.0,5.0,0.0,0.0,3.9507,-0.453268,498177.0,496910.0,,
50080.3,1.74185e-05,6.0,3.36499e-09,0.0,4.5585,-0.0829587,494422.0,494190.0,,
44072.5,4.27865e-05,7.0,8.2657e-09,0.0,5.1663,-0.0590412,491734.0,491569.0,,
38785.4,6.45467e-05,8.0,1.24694e-08,8.21958e-10,5.7741,0.223969,488414.0,489040.0,,
34132.6,7.36219e-05,9.0,1.42226e-08,2.52747e-09,6.3819,1.11731,483473.0,486596.0,,
30037.9,6.25847e-05,10.0,1.20904e-08,4.20877e-09,6.9897,-0.0250097,484303.0,484233.0,,
26434.5,3.76339e-05,11.0,7.2703e-09,5.44585e-09,7.5975,0.683385,480034.0,481944.0,,
23263.3,3.79483e-06,12.0,7.33103e-10,5.95723e-09,8.2053,-0.35044,480706.0,479726.0,,
20472.5,0.0,13.0,0.0,5.7025e-09,8.8131,-0.243654,478255.0,477574.0,,
18016.6,0.0,14.0,0.0,4.9881e-09,9.4209,1.38412,471614.0,475484.0,,
15855.2,0.0,15.0,0.0,4.16679e-09,10.0287,1.59073,469005.0,473453.0,,
13953.2,0.0,16.0,0.0,3.39257e-09,10.6365,0.120537,471140.0,471477.0,,
12279.3,0.0,17.0,0.0,2.70624e-09,10.9404,-1.05989,473472.0,470509.0,,
10806.3,0.0,18.0,0.0,2.12108e-09,11.5482,-1.03182,471496.0,468611.0,,
9509.9,0.0,19.0,0.0,1.64995e-09,12.156,-1.2126,470152.0,466762.0,,
8369.06,0.0,20.0,0.0,1.28757e-09,12.7638,3.65656,454736.0,464958.0,,
7365.07,0.0,21.0,0.0,1.00332e-09,13.3716,-1.75169,468096.0,463199.0,,
6481.53,0.0,22.0,0.0,7.40575e-10,13.9794,2.72395,453866.0,461481.0,,
5703.99,0.0,23.0,0.0,4.4741e-10,14.5872,0.342349,458846.0,459804.0,,
5019.72,0.0,24.0,0.0,9.77056e-11,15.195,-0.470357,459479.0,458164.0,,
4417.53,0.0,25.0,0.0,0.0,15.8028,0.426619,455368.0,456561.0,,
3887.59,0.0,26.0,0.0,0.0,16.4106,-0.926175,457582.0,454992.0,,
3421.22,0.0,27.0,0.0,0.0,17.0184,0.702124,451494.0,453457.0,,
3010.8,83494.2,28.0,16.1298,1.03063,17.6262,0.447247,450704.0,451954.0,,
2649.61,362507.0,29.0,70.0309,6.53595,18.234,0.288175,449676.0,450482.0,,
2331.76,596561.0,30.0,115.246,18.3744,18.8418,-0.36936,450071.0,449039.0,,
2052.03,541123.0,31.0,104.537,32.4177,19.4496,2.17862,441533.0,447624.0,,
1805.86,322306.0,32.0,62.2647,43.0756,20.0574,-0.692986,448174.0,446236.0,,
1589.22,181654.0,33.0,35.0929,49.2964,20.6652,0.856118,442482.0,444875.0,,
1398.58,96538.7,34.0,18.6498,52.7303,21.273,0.576202,441928.0,443539.0,,
1230.8,49502.8,35.0,9.56319,54.533,21.8808,-0.232281,442877.0,442228.0,,
1083.15,27364.8,36.0,5.28646,55.4819,22.4886,1.45608,436869.0,440939.0,,
953.209,19317.8,37.0,3.7319,56.0581,23.0964,-2.38988,446355.0,439674.0,,
838.858,18648.0,38.0,3.60252,56.5267,23.7042,1.5201,434181.0,438430.0,,
738.226,20173.3,39.0,3.89718,57.0059,24.312,-2.11252,443114.0,437208.0,,
649.666,22762.0,40.0,4.39727,57.5359,25.2237,-1.15636,437699.0,435413.0,,
571.73,26955.1,41.0,5.20731,58.1496,26.4393,-0.513344,434102.0,433087.0,,
503.143,31725.3,42.0,6.12885,58.8739,27.9588,-1.0441,431967.0,430282.0,,
442.784,36815.9,43.0,7.11228,59.72,29.4783,0.441552,426710.0,427583.0,,
389.666,42167.1,44.0,8.14605,60.6949,30.9978,0.015231,424957.0,424982.0,,
342.92,47599.6,45.0,9.19552,61.803,32.5173,-2.38008,426315.0,422473.0,,
301.783,52768.7,46.0,10.1941,63.0419,34.0368,-0.869875,421769.0,420049.0,,
265.58,57214.7,47.0,11.053,64.3995,35.8602,0.0386183,417183.0,417246.0,,
233.72,60645.4,48.0,11.7158,65.8544,37.6836,0.490745,413863.0,414549.0,,
205.682,63016.2,49.0,12.1738,67.3808,39.507,-0.613003,412941.0,411951.0,,
181.008,64396.8,50.0,12.4405,68.9536,41.6343,0.389281,408408.0,409037.0,,
159.293,64935.1,51.0,12.5445,70.55,43.7616,0.539601,405483.0,406237.0,,
140.184,64858.5,52.0,12.5297,72.1521,45.8889,-1.1601,405167.0,403545.0,,
123.367,64428.6,53.0,12.4466,73.748,48.3201,0.0622644,400502.0,400590.0,,
108.567,63842.2,54.0,12.3333,75.3314,50.7513,0.564121,396965.0,397753.0,,
95.5433,63180.9,55.0,12.2056,76.8993,53.4864,-0.396726,395190.0,394694.0,,
84.0816,62458.7,56.0,12.0661,78.4502,56.2215,-0.493385,392379.0,391762.0,,
73.9949,61666.7,57.0,11.9131,79.9823,58.9566,-0.31235,389340.0,388949.0,,
65.1182,60793.2,58.0,11.7443,81.4939,61.9956,-0.19409,386193.0,385950.0,,
57.3064,59821.6,59.0,11.5566,82.9828,65.3385,1.05433,381476.0,382794.0,,
50.4317,58726.0,60.0,11.345,84.4461,68.6814,-0.9411,380849.0,379775.0,,
44.3817,57461.6,61.0,11.1007,85.8803,72.0243,0.591399,376206.0,376881.0,,
39.0575,55957.4,62.0,10.8101,87.2803,75.6711,0.880005,372925.0,373855.0,,
34.3721,54118.8,63.0,10.4549,88.6391,79.6218,-0.0910625,370822.0,370718.0,,
30.2487,51851.1,64.0,10.0168,89.9471,83.8764,-0.43744,367954.0,367491.0,,
26.6199,49088.5,65.0,9.48315,91.1931,88.131,-0.765772,365164.0,364407.0,,
23.4265,45810.8,66.0,8.84995,92.3645,92.6895,1.42595,359838.0,361247.0,,
20.6162,42075.3,67.0,8.12832,93.4493,97.5519,1.23716,356804.0,358027.0,,
18.143,38047.2,68.0,7.35015,94.4384,102.414,0.108012,354847.0,354948.0,,
15.9665,33947.3,69.0,6.5581,95.327,107.581,0.392672,351452.0,351818.0,,
14.0511,29968.3,70.0,5.78942,96.116,113.051,0.762644,347938.0,348649.0,,
12.3655,26236.5,71.0,5.06849,96.8098,118.825,1.52522,344103.0,345452.0,,
10.8821,22797.7,72.0,4.40418,97.415,125.207,-0.112654,342173.0,342078.0,,
9.57662,19644.4,73.0,3.795,97.9389,131.589,1.32592,337739.0,338857.0,,
8.42778,16744.7,74.0,3.23482,98.3881,138.274,-1.0376,336506.0,335631.0,,
