T,Sig_Np,Rate#,Pct_Np,CumPct,SigT,E:SNR0202,Sig,SigCalc,Range,Zero
94877.6,0.000270386,1,4.87847e-08,1.63023e-09,507.817,2.57661,456927.0,457830.0,507.82,0.0
88743.9,0.0,2,0.0,3.06501e-09,533.952,1.70205,452768.0,453350.0,11860.0,0.0
83006.6,3.97497e-05,3,7.17187e-09,3.10923e-09,561.303,0.0750203,448683.0,448708.0,,
77640.3,0.0,4,0.0,3.34329e-09,589.87,0.650916,443699.0,443911.0,,
72621.0,0.0,5,0.0,3.29332e-09,619.956,1.30755,438499.0,438914.0,,
67926.1,3.24275e-05,6,5.85076e-09,3.44446e-09,651.866,0.686745,433463.0,433675.0,,
63534.7,9.34315e-05,7,1.68575e-08,4.2033e-09,685.294,0.0863295,428229.0,428255.0,,
59427.3,0.000157271,8,2.83757e-08,5.71485e-09,720.547,0.0312443,422603.0,422612.0,,
55585.3,0.000141056,9,2.54502e-08,7.51353e-09,757.623,-0.54422,416914.0,416758.0,,
51991.8,0.000140578,10,2.5364e-08,9.21158e-09,796.218,-0.0111824,410753.0,410750.0,,
48630.6,0.000123832,11,2.23426e-08,1.08058e-08,836.941,2.14144,403920.0,404505.0,,
45486.7,0.000103396,12,1.86553e-08,1.21758e-08,880.094,-1.09126,398281.0,397990.0,,
42546.0,8.47236e-05,13,1.52863e-08,1.331e-08,925.376,1.45901,390889.0,391268.0,,
39795.4,6.18188e-05,14,1.11537e-08,1.41936e-08,972.784,1.20968,384045.0,384351.0,,
37222.7,3.93773e-05,15,7.10469e-09,1.48037e-08,1022.62,1.25738,376902.0,377213.0,,
34816.3,1.78589e-05,16,3.22221e-09,1.51488e-08,1074.89,-0.690234,370034.0,369868.0,,
32565.4,0.0,17,0.0,1.52399e-08,1129.9,-0.176805,362334.0,362292.0,,
30460.1,0.0,18,0.0,1.50852e-08,1187.95,-2.12539,354954.0,354467.0,,
28490.9,0.0,19,0.0,1.46884e-08,1249.03,-0.811521,346597.0,346416.0,,
26649.0,0.0,20,0.0,1.40411e-08,1313.15,-0.208634,338206.0,338161.0,,
24926.2,0.0,21,0.0,1.31252e-08,1380.31,-1.0295,329944.0,329725.0,,
23314.7,0.0,22,0.0,1.19166e-08,1451.12,0.498543,320956.0,321059.0,,
21807.4,0.0,23,0.0,1.03816e-08,1525.58,-1.20289,312436.0,312193.0,,
20397.6,0.0,24,0.0,8.4845e-09,1603.68,-0.410598,303237.0,303156.0,,
19078.9,0.0,25,0.0,6.19692e-09,1686.04,-1.74197,294245.0,293910.0,,
17845.5,0.0,26,0.0,3.50695e-09,1772.65,-1.25201,284726.0,284491.0,,
16691.8,0.0,27,0.0,4.44591e-10,1863.51,-2.02888,275306.0,274935.0,,
15612.7,0.0,28,0.0,0.0,1958.94,-1.79518,265564.0,265244.0,,
14603.3,0.0,29,0.0,0.0,2059.53,-1.00831,255574.0,255399.0,,
13659.2,0.0,30,0.0,0.0,2165.29,-1.55138,245705.0,245442.0,,
12776.2,0.0,31,0.0,0.0,2276.21,-0.287972,235464.0,235416.0,,
11950.2,0.0,32,0.0,0.0,2392.91,0.0485408,225303.0,225311.0,,
11177.6,0.0,33,0.0,0.0,2515.68,-2.42485,215530.0,215148.0,,
10455.0,0.0,34,0.0,0.0,2644.84,-1.44212,205173.0,204952.0,,
9779.11,1.51785e-05,35,2.73859e-09,0.0,2780.69,0.182819,194721.0,194748.0,,
9146.9,5.99046e-05,36,1.08084e-08,0.0,2923.21,-0.12694,184609.0,184590.0,,
8555.56,0.000100328,37,1.81018e-08,0.0,3073.04,2.14052,174178.0,174483.0,,
8002.45,0.000136771,38,2.4677e-08,0.0,3230.76,1.9668,164168.0,164441.0,,
7485.1,0.000169235,39,3.05343e-08,0.0,3396.39,2.87955,154128.0,154518.0,,
7001.2,0.000195803,40,3.53279e-08,0.0,3570.52,0.762085,144631.0,144732.0,,
6548.58,0.000215419,41,3.88673e-08,0.0,3753.77,0.341832,135058.0,135102.0,,
6125.22,0.00022711,42,4.09765e-08,0.0,3946.14,-0.314012,125722.0,125683.0,,
5729.23,0.000229723,43,4.14479e-08,0.0,4148.54,0.658967,116400.0,116481.0,,
5358.84,0.00022445,44,4.04966e-08,9.88036e-10,4361.57,1.21595,107378.0,107523.0,,
5012.39,0.000213218,45,3.847e-08,3.62684e-09,4585.24,2.12907,98611.5,98859.8,,
4688.35,0.00019778,46,3.56846e-08,6.10485e-09,4820.16,1.98431,90286.2,90511.9,,
4385.25,0.000179709,47,3.24242e-08,8.38083e-09,5067.23,0.671311,82418.1,82492.6,,
4101.75,0.000159912,48,2.88523e-08,1.04285e-08,5327.37,-0.380246,74857.7,74816.6,,
3836.57,0.000139266,49,2.51272e-08,1.22323e-08,5600.88,0.43595,67469.9,67515.9,,
3588.54,0.00011862,50,2.1402e-08,1.37872e-08,5888.06,-2.22405,60845.6,60616.7,,
