T,Sig_Np,Rate#,Pct_Np,CumPct,SigT,E:SNR0015,Sig,SigCalc,Range,Zero
1924.38,0.0,1,0.0,0.0,1.232,-0.591428,133.35,128.362,1.232,0.0
1761.78,0.0,2,0.0,0.0,1.54,0.323263,111.05,113.776,240.55,0.0
1612.91,0.0,3,0.0,0.0,1.848,0.763606,94.75,101.19,,
1476.62,0.0,4,0.0,0.0,2.156,-1.15816,100.05,90.2829,,
1351.85,0.0,5,0.0,0.0,2.464,0.354962,77.8,80.7935,,
1237.62,0.0,6,0.0,0.0,2.772,-0.189052,74.1,72.5057,,
1133.04,0.0,7,0.0,0.0,3.08,-1.19279,75.3,65.2409,,
1037.3,0.0,8,0.0,0.0,3.388,8.89803e-05,58.85,58.8508,,
949.654,0.0,9,0.0,0.0,3.696,1.21678,42.95,53.2115,,
869.409,1.26062e-13,10,5.83411e-14,0.0,4.004,0.417319,44.7,48.2194,,
795.946,3.28957e-13,11,1.5224e-13,0.0,4.312,-1.26143,54.425,43.787,,
728.69,6.67539e-13,12,3.08935e-13,0.0,4.62,1.01864,31.25,39.8405,,
667.117,1.32508e-12,13,6.13241e-13,3.05326e-14,4.928,1.54949,23.25,36.3173,,
610.747,2.32899e-12,14,1.07785e-12,1.0518e-13,5.236,-0.665337,38.775,33.164,,
559.14,3.63792e-12,15,1.68361e-12,2.27075e-13,5.544,-2.08874,47.95,30.335,,
511.893,5.0552e-12,16,2.33953e-12,4.04662e-13,5.852,0.209418,26.025,27.7911,,
468.639,6.49703e-12,17,3.0068e-12,6.40657e-13,6.16,0.468219,21.55,25.4986,,
429.04,7.82828e-12,18,3.6229e-12,9.33302e-13,6.468,-0.153733,24.725,23.4285,,
392.787,9.01643e-12,19,4.17277e-12,1.27741e-12,6.776,1.55698,8.425,21.5555,,
359.597,9.87785e-12,20,4.57143e-12,1.6634e-12,7.084,1.01178,11.325,19.8577,,
329.212,9.62595e-12,21,4.45486e-12,2.06183e-12,7.392,-0.860762,25.575,18.3159,,
301.394,7.84232e-12,22,3.62939e-12,2.41868e-12,7.7,-2.59228,38.775,16.9135,,
275.927,4.30351e-12,23,1.99165e-12,2.6668e-12,8.008,1.15445,5.9,15.6358,,
252.611,0.0,24,0.0,2.7457e-12,8.316,0.767193,8.0,14.47,,
231.266,0.0,25,0.0,2.61488e-12,8.624,0.267346,11.15,13.4046,,
211.725,0.0,26,0.0,2.24845e-12,8.932,0.750561,6.1,12.4297,,
193.834,0.0,27,0.0,1.62903e-12,9.24,-0.763472,17.975,11.5364,,
177.456,0.0,28,0.0,7.442e-13,9.548,1.91998,-5.475,10.7168,,
162.461,0.0,29,0.0,0.0,9.856,-0.0991388,10.8,9.96393,,
148.733,0.0,30,0.0,0.0,10.164,1.49366,-3.325,9.27153,,
136.166,0.0,31,0.0,0.0,10.472,-0.722252,14.725,8.63402,,
124.66,0.0,32,0.0,0.0,10.78,-0.925326,15.85,8.04643,,
114.126,0.0,33,0.0,0.0,11.088,0.365135,4.425,7.50429,,
104.483,0.0,34,0.0,0.0,11.396,-1.36025,18.475,7.00359,,
95.6542,0.0,35,0.0,0.0,11.704,-0.359798,9.575,6.54071,,
87.5716,0.0,36,0.0,0.0,12.012,-1.91059,22.225,6.11241,,
80.1719,0.0,37,0.0,0.0,12.32,0.425782,2.125,5.71575,,
73.3975,0.0,38,0.0,0.0,12.782,-0.509475,8.2125,5.17437,,
67.1956,0.0,39,0.0,0.0,13.398,1.11996,-0.9125,4.54057,,
61.5177,0.0,40,0.0,0.0,14.168,0.229418,2.5,3.86808,,
56.3195,0.0,41,0.0,0.0,14.938,0.707139,-0.1375,3.30554,,
51.5606,0.0,42,0.0,0.0,15.554,-0.130606,3.7,2.92116,,
