T,Sig_Np,Rate#,Pct_Np,CumPct,SigT,E:SNR0020,Sig,SigCalc,Range,Zero
7293.93,0.0,1.0,0.0,0.0,0.5256,1.20462,261.05,278.002,0.5256,0.0
6524.12,2.30539e-11,2.0,8.19759e-12,0.0,0.6424,0.248,273.8,277.29,911.74,0.0
5835.56,7.92375e-11,3.0,2.81755e-11,0.0,0.7592,0.812234,265.15,276.58,,
5219.67,5.20702e-11,4.0,1.85153e-11,0.0,0.876,0.0655124,274.95,275.872,,
4668.78,7.67155e-12,5.0,2.72787e-12,4.2845e-14,0.9928,0.306681,270.85,275.166,,
4176.03,8.7847e-13,6.0,3.12369e-13,2.12394e-13,1.1096,0.739849,264.05,274.461,,
3735.29,0.0,7.0,0.0,0.0,1.2264,-1.06174,288.7,273.759,,
3341.06,0.0,8.0,0.0,0.0,1.3432,-1.37446,292.4,273.058,,
2988.44,0.0,9.0,0.0,0.0,1.46,-0.11303,273.95,272.359,,
2673.04,0.0,10.0,0.0,0.0,1.5768,-0.95845,285.15,271.662,,
2390.92,0.0,11.0,0.0,0.0,1.6936,-1.23169,288.3,270.967,,
2138.58,0.0,12.0,0.0,0.0,1.8104,-0.63785,279.25,270.274,,
1912.87,0.0,13.0,0.0,0.0,1.9272,-0.800687,280.85,269.583,,
1710.99,0.0,14.0,0.0,0.0,2.044,-0.24567,272.35,268.893,,
1530.41,2.89203e-11,15.0,1.02836e-11,0.0,2.1608,-0.155979,270.4,268.205,,
1368.89,1.98691e-10,16.0,7.0651e-11,0.0,2.2776,-0.0270762,267.9,267.519,,
1224.41,3.63876e-10,17.0,1.29388e-10,0.0,2.336,0.0694013,266.2,267.177,,
1095.19,4.67423e-10,18.0,1.66208e-10,0.0,2.4528,-1.23695,283.9,266.493,,
979.6,3.32225e-10,19.0,1.18134e-10,4.36488e-12,2.5696,0.32772,261.2,265.812,,
876.212,1.38257e-10,20.0,4.91618e-11,1.36946e-11,2.6864,1.21032,248.1,265.132,,
783.736,0.0,21.0,0.0,1.62134e-11,2.8032,-0.898643,277.1,264.454,,
701.02,0.0,22.0,0.0,1.35703e-11,2.92,-0.278713,267.7,263.778,,
627.033,0.0,23.0,0.0,7.88307e-12,3.0368,-0.745902,273.6,263.103,,
560.856,0.0,24.0,0.0,9.65822e-13,3.1536,-0.139932,264.4,262.431,,
501.662,0.0,25.0,0.0,0.0,3.2704,-0.0667994,262.7,261.76,,
448.716,0.0,26.0,0.0,0.0,3.3872,1.05817,246.2,261.091,,
401.358,0.0,27.0,0.0,0.0,3.504,0.897051,247.8,260.424,,
358.999,0.0,28.0,0.0,0.0,3.6208,-2.11352,289.5,259.758,,
321.109,0.0,29.0,0.0,0.0,3.7376,-1.38612,278.6,259.094,,
287.219,0.0,30.0,0.0,0.0,3.8544,-0.438307,264.6,258.432,,
256.906,0.0,31.0,0.0,0.0,3.9712,-0.655782,267.0,257.772,,
229.792,0.0,32.0,0.0,0.0,4.088,-0.0488163,257.8,257.113,,
205.539,0.0,33.0,0.0,0.0,4.2048,-1.05483,271.3,256.456,,
183.846,0.0,34.0,0.0,0.0,4.3216,-1.08717,271.1,255.801,,
164.443,0.0,35.0,0.0,0.0,4.4384,-0.387461,260.6,255.148,,
147.088,0.0,36.0,0.0,0.0,4.5552,0.347905,249.6,254.496,,
131.564,0.0,37.0,0.0,0.0,4.672,-0.650514,263.0,253.846,,
117.678,0.0,38.0,0.0,0.0,4.8472,0.143103,251.45,252.874,,
105.259,0.0,39.0,0.0,0.0,5.0808,0.681155,246.05,251.584,,
94.1494,0.0,40.0,0.0,0.0,5.3728,0.0148751,249.833,249.981,,
84.2128,0.0,41.0,0.0,0.0,5.6648,0.146353,247.2,248.389,,
75.3249,0.0,42.0,0.0,0.0,5.8984,-0.042938,247.55,247.123,,
67.375,30.3421,43.0,10.7891,0.601689,6.1904,0.86763,238.5,245.549,,
60.2642,210.174,44.0,74.7343,5.37117,6.5408,0.571242,239.033,243.674,,
53.9039,480.612,45.0,170.898,19.0696,6.8912,-0.572605,246.467,241.814,,
48.2148,654.551,46.0,232.747,41.5801,7.2416,0.180364,238.7,239.969,,
43.1261,585.591,47.0,208.226,66.1724,7.592,1.40373,226.733,238.138,,
38.5746,342.701,48.0,121.859,84.5806,8.0008,0.262243,234.175,236.02,,
34.5034,167.668,49.0,59.62,94.7014,8.4096,-1.18129,242.233,233.922,,
30.8618,49.7661,50.0,17.696,99.0131,8.8184,1.77543,219.35,231.842,,
27.6047,0.0,51.0,0.0,100.0,9.2856,1.15318,221.375,229.489,,
24.6912,0.0,52.0,0.0,100.0,9.7528,0.42072,224.2,227.16,,
22.0853,0.0,53.0,0.0,100.0,10.22,0.445844,222.05,224.856,,
19.7544,0.0,54.0,0.0,100.0,10.7456,0.0972572,221.68,222.292,,
17.6695,6.472889999999999e-95,55.0,2.30165e-95,100.0,11.3296,-0.851912,224.84,219.479,,
15.8046,6.27473e-95,56.0,2.23119e-95,100.0,11.9136,1.55646,207.76,216.702,,
14.1366,6.0759e-95,57.0,2.16049e-95,100.0,12.4976,0.235342,212.48,213.961,,
12.6446,5.8761e-95,58.0,2.08944e-95,100.0,13.14,-0.382239,213.183,210.987,,
11.3101,5.67496e-95,59.0,2.01792e-95,100.0,13.8408,0.528015,204.983,207.792,,
10.1164,5.47207e-95,60.0,1.94577e-95,100.0,14.5416,-0.598349,208.083,204.646,,
9.04871,5.26702e-95,61.0,1.87286e-95,100.0,15.3008,0.466017,198.814,201.293,,
8.0937,5.05942e-95,62.0,1.79904e-95,100.0,16.06,-0.560137,200.783,197.996,,
7.23948,4.84889e-95,63.0,1.72418e-95,100.0,16.8776,0.873503,190.163,194.508,,
6.47542,4.63514e-95,64.0,1.64818e-95,100.0,17.7536,0.987413,185.929,190.841,,
5.792,4.41795e-95,65.0,1.57095e-95,100.0,18.6296,1.7778,178.4,187.245,,
5.1807,4.19723e-95,66.0,1.49246e-95,100.0,19.564,-0.818458,187.325,183.486,,
4.63393,3.973e-95,67.0,1.41273e-95,100.0,20.5568,0.521555,177.256,179.576,,
4.14486,3.74543e-95,68.0,1.33181e-95,100.0,21.6664,0.965921,171.01,175.308,,
3.7074,3.51485e-95,69.0,1.24982e-95,100.0,22.776,-0.484391,173.3,171.144,,
