T,Sig_Np,Rate#,Pct_Np,CumPct,SigT,E:SNR0050,Sig,SigCalc,Range,Zero
9866.78,0.0,1.0,0.0,0.0,0.711,0.372505,243.942,245.757,0.711,0.0
8825.43,0.0,2.0,0.0,0.0,0.869,1.98475,235.067,244.737,1233.3,0.0
7893.99,0.0,3.0,0.0,0.0,1.027,1.10508,238.342,243.726,,
7060.85,0.0,4.0,0.0,0.0,1.185,-0.734158,246.3,242.723,,
6315.64,0.0,5.0,0.0,0.0,1.343,-1.10953,247.133,241.727,,
5649.08,0.0,6.0,0.0,0.0,1.501,-0.233137,241.875,240.739,,
5052.87,0.0,7.0,0.0,0.0,1.659,0.118021,239.183,239.758,,
4519.58,0.0,8.0,0.0,0.0,1.817,0.209011,237.767,238.785,,
4042.58,5.80814e-12,9.0,2.31911e-12,0.0,1.975,-1.01543,242.767,237.819,,
3615.92,5.88232e-11,10.0,2.34873e-11,0.0,2.133,-2.1016,247.1,236.86,,
3234.3,8.46657e-11,11.0,3.38059e-11,0.0,2.291,-0.407156,237.892,235.908,,
2892.95,8.82301e-11,12.0,3.52291e-11,0.0,2.449,-0.907295,239.383,234.963,,
2587.62,7.52489e-11,13.0,3.00459e-11,0.0,2.607,-0.759572,237.725,234.024,,
2314.52,5.05849e-11,14.0,2.01979e-11,0.0,2.765,-0.355663,234.825,233.092,,
2070.24,1.92279e-11,15.0,7.67744e-12,0.0,2.923,-0.188145,233.083,232.167,,
1851.75,0.0,16.0,0.0,0.0,3.081,0.611775,228.267,231.248,,
1656.31,0.0,17.0,0.0,0.0,3.16,0.0493407,230.55,230.79,,
1481.5,0.0,18.0,0.0,0.0,3.318,-0.0791927,230.267,229.881,,
1325.14,8.362e-11,19.0,3.33883e-11,0.0,3.476,2.00662,219.2,228.977,,
1185.29,3.3397e-10,20.0,1.3335e-10,0.0,3.634,-0.934503,232.633,228.08,,
1060.19,6.427e-10,21.0,2.56622e-10,1.02159e-11,3.792,-2.37963,238.783,227.189,,
948.297,9.42284e-10,22.0,3.76241e-10,4.55094e-11,3.95,-1.86701,235.4,226.303,,
848.213,1.23181e-09,23.0,4.91843e-10,9.39209e-11,4.108,-0.238096,226.583,225.423,,
758.692,1.49164e-09,24.0,5.95593e-10,1.54565e-10,4.266,0.105864,224.033,224.549,,
678.618,1.68376e-09,25.0,6.72302e-10,2.25273e-10,4.424,0.598061,220.767,223.681,,
606.996,1.77846e-09,26.0,7.10117e-10,3.02368e-10,4.582,0.489383,220.433,222.818,,
542.933,1.74364e-09,27.0,6.96213e-10,3.80797e-10,4.74,-0.664858,225.2,221.96,,
485.632,1.54608e-09,28.0,6.17328e-10,4.5405e-10,4.898,0.525075,218.55,221.108,,
434.378,1.15015e-09,29.0,4.59241e-10,5.14089e-10,5.056,-0.596184,223.167,220.262,,
388.533,5.20532e-10,30.0,2.07841e-10,5.51291e-10,5.214,-0.905699,223.833,219.42,,
347.527,0.0,31.0,0.0,5.54488e-10,5.372,-0.683968,221.917,218.584,,
310.848,0.0,32.0,0.0,5.13016e-10,5.53,1.73137,209.317,217.753,,
278.041,0.0,33.0,0.0,4.18601e-10,5.688,0.792202,213.067,216.927,,
248.696,0.0,34.0,0.0,2.6528e-10,5.846,0.202946,215.117,216.106,,
222.449,0.0,35.0,0.0,4.94004e-11,6.004,1.68754,207.067,215.289,,
198.971,0.0,36.0,0.0,0.0,6.162,0.0536019,214.217,214.478,,
177.972,0.0,37.0,0.0,0.0,6.32,0.702142,210.25,213.671,,
159.188,0.0,38.0,0.0,0.0,6.557,1.1281,208.583,212.47,,
142.387,0.0,39.0,0.0,0.0,6.873,-0.0794659,211.108,210.885,,
127.36,0.0,40.0,0.0,0.0,7.268,-0.409341,210.339,208.929,,
113.918,0.0,41.0,0.0,0.0,7.663,-1.14945,210.233,207.0,,
101.895,5.66665,42.0,2.26262,0.126182,7.979,0.803275,202.708,205.476,,
